"White population","Black population","Grey population","Global temperature"
"282","0","0","57.30858076935622"
"283","0","0","57.151031164711064"
"282","0","0","56.97191278390088"
"276","0","0","56.85093270616091"
"277","0","0","56.935292649175445"
"282","0","0","56.875197870292716"
"281","0","0","56.60322052686743"
"280","0","0","56.44496273009358"
"277","0","0","56.33527838331713"
"280","0","0","56.312613155187236"
"279","0","0","56.13345936821611"
"281","0","0","56.01006850589265"
"279","0","0","55.82010713677944"
"280","0","0","55.73617076938369"
"277","0","0","55.59638853698074"
"280","0","0","55.567882030073704"
"280","0","0","55.3674416241197"
"281","0","0","55.205328861591255"
"279","0","0","55.03390125340554"
"281","0","0","54.96628508488814"
"279","0","0","54.77842704886402"
"276","0","0","54.704971501816146"
"279","0","0","54.71784224933887"
"274","0","0","54.5406905506335"
"272","0","0","54.56179494998741"
"278","0","0","54.60327563256607"
"281","0","0","54.32153744829098"
"278","0","0","54.00307316549191"
"269","0","0","53.89505283121889"
"268","0","0","54.12834742860083"
"273","0","0","54.18356468908211"
"278","0","0","53.956082070401386"
"277","0","0","53.60130206833961"
"276","0","0","53.39247687823527"
"275","0","0","53.25249242161421"
"275","0","0","53.13152609013931"
"276","0","0","53.010030813336336"
"282","0","0","52.83823153593156"
"277","0","0","52.46323721478989"
"279","0","0","52.39920087164695"
"274","0","0","52.22749193340351"
"278","0","0","52.259316154813504"
"277","0","0","52.048681291590334"
"273","0","0","51.91760910760977"
"269","0","0","51.9515119408143"
"274","0","0","52.07410741725522"
"274","0","0","51.86575206509543"
"271","0","0","51.70008782295904"
"269","0","0","51.65479632727853"
"270","0","0","51.63333504450731"
"265","0","0","51.49746579485708"
"272","0","0","51.581774592759864"
"275","0","0","51.28984678054942"
"275","0","0","50.958651983754486"
"265","0","0","50.72754999640415"
"263","0","0","50.93517832228989"
"264","0","0","51.01496554014706"
"268","0","0","50.929366758593176"
"272","0","0","50.68376417112442"
"276","0","0","50.35429533885513"
"278","0","0","49.956096801359976"
"276","0","0","49.58861926088033"
"275","0","0","49.410903828704086"
"284","0","0","49.27795939917113"
"281","0","0","48.80538803422699"
"281","0","0","48.60955168287759"
"278","0","0","48.45283119192695"
"285","0","0","48.40531147154515"
"287","0","0","48.02891640919512"
"282","0","0","47.69478794761819"
"276","0","0","47.66039308710952"
"285","0","0","47.81747392519828"
"288","0","0","47.47734871863885"
"291","0","0","47.118044062551036"
"285","0","0","46.742921738128274"
"281","0","0","46.702933405698474"
"280","0","0","46.74944802329438"
"288","0","0","46.750011454867376"
"296","0","0","46.387435620001554"
"296","0","0","45.8150649451403"
"291","0","0","45.45299915512762"
"293","0","0","45.39630869345201"
"297","0","0","45.19759083055027"
"300","0","0","44.83537429161534"
"301","0","0","44.43728940549511"
"310","0","0","44.12320974097825"
"312","0","0","43.54927002832074"
"309","0","0","43.090566776049236"
"303","0","0","42.903940054484124"
"306","0","0","42.95713256550238"
"309","0","0","42.789198579835904"
"314","0","0","42.50946553706178"
"313","0","0","42.112581416448904"
"312","0","0","41.870289894356624"
"316","0","0","41.696158713525314"
"317","0","0","41.367635849846906"
"309","0","0","41.09442135936763"
"311","0","0","41.19302766541274"
"315","0","0","41.11412170970209"
"323","0","0","40.85490442165245"
"331","0","0","40.337099751659714"
"324","0","0","39.66496104704959"
"317","0","0","39.48665713447433"
"306","0","0","39.588449004740696"
"309","0","0","39.990215406072494"
"325","0","0","40.01156376381766"
"331","0","0","39.33477723084709"
"329","0","0","38.694872153047875"
"329","0","0","38.36725913333889"
"338","0","0","38.10858137796756"
"337","0","0","37.52891478736579"
"344","0","0","37.16128071552484"
"362","0","0","36.602125381015945"
"377","0","0","35.53588077875321"
"383","0","0","34.33467921591148"
"384","0","0","33.44026239757151"
"379","0","0","32.85795215407663"
"376","0","0","32.64879898266975"
"384","0","0","32.56730326529159"
"387","0","0","32.131737929695056"
"396","0","0","31.700344940147026"
"398","0","0","31.027954510475674"
"396","0","0","30.51999082851897"
"399","0","0","30.240580495707288"
"403","0","0","29.885775696323194"
"406","0","0","29.47394529004497"
"420","0","0","29.099370073191825"
"435","0","0","28.29266376464941"
"452","0","0","27.19302370794049"
"453","0","0","25.88574542797497"
"434","0","0","25.079544204291444"
"424","0","0","25.313508884885934"
"416","0","0","25.730821393831587"
"418","0","0","26.18236419718937"
"422","0","0","26.2588810004227"
"432","0","0","26.052990204519126"
"452","0","0","25.475892031791684"
"461","0","0","24.299611314851244"
"472","0","0","23.229726374960062"
"482","0","0","22.12814060631055"
"491","0","0","21.112882251573893"
"502","0","0","20.246404084203135"
"518","0","0","19.373509949393295"
"519","0","0","18.3044684735056"
"524","0","0","17.731274823034948"
"522","0","0","17.259699371838373"
"529","0","0","17.105831435941663"
"544","0","0","16.769112025830825"
"545","0","0","15.988356219623755"
"548","0","0","15.547082397677624"
"552","0","0","15.196725474228236"
"549","0","0","14.835662495390329"
"559","0","0","14.751886419767732"
"584","0","0","14.319356266997707"
"600","0","0","13.1052300802629"
